EEG,alpha,beta,delta,theta
0.7019,1.19669,0.66063,-0.12422,-0.04965
-0.07324,1.10733,0.34274,-0.00912,-0.16736
0.53101,0.8928,0.20584,0.11236,-0.28253
1.18408,0.5836,0.31718,0.23849,-0.39047
1.08643,0.22025,0.46639,0.36746,-0.48664
0.12207,-0.15195,0.35459,0.49738,-0.56685
-0.97656,-0.48829,-0.14261,0.62632,-0.6275
-1.60522,-0.74971,-0.83805,0.75244,-0.66581
-1.64795,-0.90744,-1.32788,0.874,-0.67982
-1.20239,-0.94624,-1.25422,0.98935,-0.66849
-0.20752,-0.86588,-0.5557,1.09698,-0.63153
0.90942,-0.68054,0.46763,1.19544,-0.56942
1.81885,-0.41652,1.31756,1.28342,-0.4834
2.63672,-0.10868,1.58132,1.35978,-0.37566
2.88696,0.204,1.15545,1.42353,-0.2494
2.81982,0.48326,0.27929,1.47386,-0.10864
2.00195,0.69623,-0.62206,1.5101,0.04221
1.24512,0.81918,-1.1725,1.53173,0.1984
1.26343,0.83983,-1.21226,1.53846,0.35498
1.86768,0.75859,-0.81992,1.53028,0.5066
2.49634,0.58796,-0.21352,1.50738,0.64791
2.58789,0.35068,0.37772,1.47016,0.7739
2.54517,0.07654,0.79011,1.4192,0.88009
2.46582,-0.20154,0.93332,1.35521,0.96272
2.22168,-0.45156,0.77316,1.27912,1.01858
1.50146,-0.6461,0.33594,1.19204,1.04524
0.41504,-0.76521,-0.26223,1.09525,1.04118
-0.29297,-0.79827,-0.80561,0.99016,1.00584
-0.28076,-0.74481,-1.0395,0.87821,0.9396
0.177,-0.61396,-0.79969,0.76091,0.84375
0.93384,-0.42296,-0.14091,0.63986,0.72049
1.26343,-0.1947,0.63733,0.51676,0.57305
1.57471,0.04528,1.12103,0.39334,0.40546
1.89819,0.27177,1.01505,0.27128,0.22247
1.7334,0.46261,0.34014,0.15219,0.02931
0.57373,0.60083,-0.54438,0.03765,-0.16842
-0.64087,0.67606,-1.1308,-0.07081,-0.36491
-1.10474,0.6852,-1.06407,-0.17161,-0.5544
-0.45166,0.63197,-0.36938,-0.2633,-0.73119
0.42114,0.52585,0.54758,-0.34464,-0.88994
0.64087,0.38042,1.14002,-0.41466,-1.02573
0.10376,0.21152,1.05449,-0.47253,-1.13429
-1.10474,0.03545,0.34913,-0.51749,-1.21214
-2.36206,-0.13255,-0.54691,-0.54885,-1.25673
-3.17993,-0.27948,-1.10446,-0.56616,-1.26647
-3.13721,-0.39554,-1.02083,-0.56922,-1.24082
-2.49634,-0.47465,-0.38997,-0.55802,-1.18027
-1.7395,-0.51438,0.38344,-0.53269,-1.0865
-1.16577,-0.51546,0.8556,-0.49352,-0.96222
-1.0376,-0.48115,0.81522,-0.44096,-0.81108
-1.29395,-0.41639,0.38066,-0.3757,-0.63752
-1.62354,-0.32729,-0.12149,-0.29858,-0.44659
-1.44043,-0.22052,-0.39384,-0.21057,-0.24401
-0.72632,-0.10307,-0.35306,-0.11279,-0.03591
0.06104,0.01806,-0.14258,-0.00646,0.17137
0.67139,0.13611,0.01315,0.10709,0.37148
0.64697,0.24464,-0.00931,0.22649,0.55844
0.94605,0.33757,-0.14987,0.35027,0.72669
1.55029,0.40914,-0.23569,0.47689,0.87134
2.23999,0.45437,-0.13634,0.60481,0.98822
2.80762,0.46937,0.12198,0.73257,1.0741
2.80762,0.45184,0.37145,0.85877,1.1268
3.16162,0.40153,0.43073,0.98207,1.14524
3.00903,0.32055,0.24499,1.10109,1.12942
2.64893,0.21365,-0.06883,1.21448,1.08048
2.2522,0.08792,-0.30469,1.32094,1.00059
2.09961,-0.04751,-0.31577,1.41939,0.893
2.34375,-0.18196,-0.11895,1.50888,0.7618
2.12402,-0.30421,0.12121,1.58866,0.61185
1.64795,-0.40347,0.21541,1.65808,0.4486
1.31226,-0.47076,0.08916,1.71662,0.27789
1.26953,-0.49968,-0.1633,1.76397,0.10584
1.14746,-0.48707,-0.34793,1.79994,-0.06167
0.79346,-0.43357,-0.311,1.82451,-0.21904
0.55542,-0.34371,-0.04927,1.8378,-0.36119
0.95825,-0.2255,0.28675,1.84009,-0.48358
1.52588,-0.08957,0.49601,1.83182,-0.58238
1.7395,0.05202,0.45944,1.81358,-0.65486
1.34277,0.18675,0.20891,1.78611,-0.69939
0.83618,0.30283,-0.10889,1.75031,-0.71555
0.65918,0.39036,-0.33909,1.70719,-0.70404
0.61646,0.44229,-0.41237,1.6578,-0.66651
0.82398,0.4553,-0.36193,1.60323,-0.60555
1.17798,0.42998,-0.26221,1.54461,-0.52459
1.37329,0.37053,-0.14969,1.48312,-0.42784
1.23291,0.28406,0.00293,1.41998,-0.32024
1.09253,0.17962,0.23529,1.35641,-0.20703
1.5564,0.06708,0.51707,1.29364,-0.09361
2.20947,-0.04375,0.71431,1.23276,0.0148
2.2644,-0.14402,0.65253,1.17483,0.11333
1.54419,-0.22641,0.24478,1.12088,0.19762
0.5127,-0.28589,-0.40283,1.07196,0.26398
-0.01221,-0.32001,-1.00014,1.029,0.30954
0.28687,-0.32892,-1.21393,0.99277,0.33243
0.66528,-0.3147,-0.86668,0.96386,0.33186
1.20239,-0.28086,-0.06776,0.94267,0.30807
1.60522,-0.23184,0.81745,0.9295,0.26243
2.39868,-0.17252,1.35313,0.92453,0.19743
2.85645,-0.10777,1.26997,0.92788,0.11649
2.02637,-0.04191,0.6136,0.9395,0.02377
0.57983,0.02145,-0.28291,0.95911,-0.07606
-0.45166,0.07961,-0.98301,0.98618,-0.17795
-0.13428,0.13077,-1.17876,1.02008,-0.27661
0.68359,0.17374,-0.83859,1.06014,-0.36688
1.00098,0.20775,-0.19573,1.10571,-0.4439
1.06201,0.23219,0.40234,1.15601,-0.50328
1.30005,0.24642,0.68681,1.21006,-0.54129
1.67847,0.2498,0.59422,1.26676,-0.55503
1.59302,0.24151,0.26518,1.32496,-0.54266
0.95215,0.22079,-0.06584,1.38349,-0.50347
0.62866,0.18722,-0.21458,1.44115,-0.438
0.91553,0.14094,-0.14228,1.49672,-0.34789
1.55029,0.08288,0.04596,1.54903,-0.23581
1.67847,0.01494,0.18427,1.59694,-0.10541
1.30005,-0.05973,0.15388,1.63937,0.03878
1.16577,-0.13686,-0.04865,1.67524,0.19141
1.47095,-0.21105,-0.3171,1.70355,0.34658
1.9165,-0.27626,-0.50028,1.72336,0.49812
1.83716,-0.32647,-0.48618,1.73392,0.63994
1.47095,-0.35631,-0.25698,1.73459,0.76616
1.72119,-0.36176,0.10804,1.72486,0.87137
2.65503,-0.34045,0.47351,1.70436,0.95077
3.79028,-0.29181,0.70597,1.67286,1.00044
3.90015,-0.21737,0.71845,1.63031,1.01763
2.86255,-0.12085,0.49277,1.57676,1.0007
1.66626,-0.00845,0.08245,1.51247,0.94919
1.3855,0.11163,-0.39621,1.43785,0.86398
2.10571,0.23011,-0.788,1.35343,0.74725
2.19116,0.33732,-0.94261,1.25989,0.60246
1.41602,0.42384,-0.77374,1.15808,0.43411
0.77515,0.48113,-0.31126,1.04894,0.2476
1.0437,0.50235,0.28753,0.93357,0.04911
2.06299,0.48333,0.78882,0.81313,-0.15471
2.16675,0.42301,0.98406,0.68889,-0.357
1.23901,0.3238,0.79463,0.56222,-0.55102
-0.08545,0.19166,0.31716,0.43454,-0.73027
-1.33057,0.03591,-0.22334,0.30728,-0.88857
-2.01416,-0.13121,-0.59084,0.18189,-1.0204
-2.44751,-0.29559,-0.65943,0.05979,-1.12115
-2.46582,-0.44233,-0.46642,-0.0576,-1.18748
-2.13623,-0.55703,-0.16998,-0.16892,-1.21733
-2.19727,-0.62735,0.05824,-0.27286,-1.20985
-2.16064,-0.64431,0.13451,-0.36814,-1.1654
-2.29492,-0.60354,0.09521,-0.45358,-1.08549
-2.16064,-0.50587,0.04678,-0.52808,-0.97283
-1.58691,-0.3577,0.07485,-0.59067,-0.83125
-0.79346,-0.17076,0.17981,-0.64052,-0.66561
-0.04883,0.03877,0.28164,-0.67702,-0.48156
0.03052,0.25161,0.28492,-0.69972,-0.28527
-0.14038,0.44702,0.15325,-0.70828,-0.08312
-0.09766,0.60495,-0.06056,-0.70245,0.11844
0.29907,0.70812,-0.24894,-0.68208,0.31313
1.09863,0.74418,-0.32107,-0.64726,0.49491
1.37329,0.70726,-0.26138,-0.59826,0.65826
1.0376,0.59899,-0.13479,-0.53553,0.79843
0.59204,0.42885,-0.03551,-0.45968,0.91151
0.64087,0.21342,-0.01708,-0.37143,0.99465
1.08032,-0.02514,-0.05369,-0.27165,1.04602
1.44043,-0.26144,-0.06146,-0.16137,1.06488
1.11694,-0.46971,0.03338,-0.04176,1.05155
0.75073,-0.62683,0.22882,0.08598,1.00735
0.47607,-0.71517,0.43174,0.22058,0.93469
0.5127,-0.72469,0.50921,0.36066,0.83682
0.78125,-0.65429,0.37463,0.50477,0.71774
0.91553,-0.51211,0.05132,0.65141,0.58186
0.6897,-0.31487,-0.33047,0.79912,0.43394
0.01221,-0.08604,-0.60365,0.94652,0.2789
-0.3418,0.1469,-0.6564,1.09224,0.12159
0.21362,0.35563,-0.48788,1.23485,-0.03323
1.26343,0.5146,-0.19394,1.37295,-0.181
2.11792,0.60447,0.10115,1.50515,-0.3175
2.32544,0.61463,0.31466,1.63023,-0.43911
2.00806,0.54485,0.42983,1.74705,-0.54296
1.74561,0.40545,0.46577,1.85458,-0.62683
1.63574,0.21608,0.43289,1.95189,-0.68916
1.81885,0.00311,0.31715,2.03826,-0.72913
1.76392,-0.20395,0.10931,2.11312,-0.74681
1.47705,-0.37627,-0.1527,2.176,-0.74298
0.76294,-0.48961,-0.3772,2.22653,-0.71893
0.26856,-0.52773,-0.46755,2.26442,-0.67639
0.56763,-0.48472,-0.39418,2.2896,-0.61755
1.20239,-0.36615,-0.22612,2.30224,-0.545
1.93481,-0.18845,-0.08351,2.30254,-0.46159
2.06299,0.02307,-0.04029,2.29078,-0.37025
2.09351,0.23769,-0.05611,2.26732,-0.27394
2.36816,0.42352,-0.00505,2.23269,-0.17563
2.70386,0.55187,0.20823,2.18762,-0.07813
3.16772,0.60168,0.5334,2.13295,0.01592
3.35693,0.56254,0.76544,2.06958,0.10418
3.07617,0.43644,0.67583,1.99847,0.18474
2.51465,0.23777,0.19976,1.92059,0.25612
1.47705,-0.00835,-0.46648,1.8369,0.3171
0.71411,-0.26909,-0.95594,1.74836,0.36677
0.27466,-0.50841,-0.96943,1.65601,0.40457
0.41504,-0.69207,-0.49523,1.56093,0.43039
0.98267,-0.79237,0.16071,1.46417,0.44451
1.37939,-0.79207,0.57647,1.36672,0.4475
1.69678,-0.68705,0.51379,1.26944,0.43999
1.63574,-0.48724,0.09362,1.17318,0.42286
1.17798,-0.21572,-0.291,1.07875,0.39707
1.05591,0.09432,-0.27323,0.9869,0.36382
1.51978,0.4039,0.19591,0.89829,0.32441
2.68555,0.67334,0.7843,0.81342,0.28016
3.57056,0.86751,1.00228,0.73275,0.23241
3.22266,0.96042,0.56208,0.65669,0.18237
1.89819,0.93888,-0.38693,0.58551,0.13121
0.23804,0.80429,-1.32351,0.5194,0.07993
-0.75073,0.57253,-1.68082,0.45843,0.02934
-0.60425,0.27188,-1.21261,0.40254,-0.01971
0.75073,-0.06077,-0.14718,0.35156,-0.06636
1.9043,-0.38482,0.96368,0.30526,-0.10983
1.84326,-0.66117,1.58529,0.2633,-0.14944
0.37231,-0.85714,1.49543,0.22533,-0.18475
-0.97656,-0.95053,0.85429,0.19092,-0.21536
-1.42822,-0.93247,0.0416,0.15958,-0.24105
-1.2146,-0.80828,-0.59452,0.1308,-0.2617
-1.19019,-0.59641,-0.901,0.104,-0.27726
-1.46484,-0.3255,-0.91733,0.0786,-0.28776
-1.69678,-0.03009,-0.7613,0.05399,-0.29321
-1.39771,0.25379,-0.52025,0.02957,-0.29375
-0.45776,0.49338,-0.22516,0.0048,-0.28962
0.54932,0.66313,0.10437,-0.02085,-0.28118
1.12305,0.74766,0.4175,-0.04788,-0.26877
1.02539,0.74345,0.64265,-0.07674,-0.25264
0.54321,0.65833,0.73741,-0.1078,-0.2331
0.6897,0.50959,0.71647,-0.14134,-0.21055
0.38452,0.32077,0.61962,-0.17761,-0.18554
0.0061,0.11816,0.4473,-0.2168,-0.15858
-0.75684,-0.07293,0.13803,-0.25902,-0.12992
-1.28174,-0.23154,-0.36797,-0.30427,-0.09975
-1.61133,-0.34359,-1.01481,-0.35244,-0.06823
-2.22168,-0.40308,-1.57041,-0.40326,-0.03563
-2.71606,-0.41185,-1.70143,-0.45636,-0.0023
-2.41699,-0.37838,-1.1716,-0.51137,0.0316
-0.89111,-0.31566,-0.03922,-0.56779,0.066
0.98267,-0.23854,1.2949,-0.62514,0.10089
2.14233,-0.16092,2.25221,-0.68276,0.13609
2.30713,-0.09338,2.37551,-0.73995,0.17125
1.10474,-0.04187,1.58247,-0.7959,0.20591
-0.54932,-0.00742,0.21766,-0.84977,0.23958
-1.93481,0.01331,-1.1305,-0.9007,0.27174
-2.70996,0.02682,-1.93477,-0.94785,0.30184
-2.36206,0.04115,-1.97195,-0.99036,0.32917
-1.67847,0.06364,-1.37652,-1.02733,0.35288
-1.2146,0.09879,-0.50286,-1.0578,0.3721
-0.92163,0.14677,0.29202,-1.08087,0.38601
-0.54932,0.20319,0.80658,-1.09575,0.39385
0.55542,0.2598,1.0214,-1.1017,0.39473
1.18408,0.30587,1.01684,-1.09806,0.38766
0.80566,0.32998,0.86918,-1.08419,0.37167
-0.04883,0.32219,0.60295,-1.05952,0.34601
-0.77515,0.2761,0.21738,-1.02359,0.3103
-0.75684,0.1908,-0.25277,-0.97601,0.26447
-0.95215,0.07158,-0.70309,-0.91655,0.20874
-1.67847,-0.0704,-0.9843,-0.84519,0.14368
-2.00195,-0.21928,-0.97426,-0.762,0.07021
-1.75781,-0.35664,-0.65129,-0.66719,-0.01035
-1.12305,-0.46386,-0.1221,-0.56098,-0.09637
-0.58594,-0.52517,0.41463,-0.44367,-0.18596
-0.56152,-0.53015,0.7539,-0.31572,-0.27697
-0.07324,-0.47547,0.779,-0.1778,-0.36701
0.12817,-0.36568,0.51692,-0.03068,-0.45337
0.1648,-0.21273,0.12416,0.1247,-0.53323
-0.12207,-0.03465,-0.19568,0.28735,-0.60378
-0.29907,0.14697,-0.30121,0.45613,-0.66222
0.31128,0.31001,-0.19083,0.62983,-0.70591
0.91553,0.43484,-0.00072,0.80722,-0.7325
1.43433,0.50716,0.08228,0.98701,-0.74024
1.31836,0.51987,-0.05316,1.1679,-0.72792
0.61035,0.47401,-0.3548,1.3485,-0.69483
0.26245,0.37837,-0.61939,1.52739,-0.64072
0.6897,0.24804,-0.61002,1.70317,-0.56601
1.40991,0.10211,-0.21319,1.87441,-0.47196
2.04468,-0.03934,0.46111,2.03969,-0.36063
2.22778,-0.1582,1.10516,2.19765,-0.23478
2.72827,-0.2409,1.3636,2.34699,-0.09774
3.03345,-0.28037,1.02755,2.4865,0.04677
2.67944,-0.27673,0.16622,2.61502,0.19459
1.60522,-0.23713,-0.88096,2.73149,0.34123
0.82398,-0.1742,-1.6533,2.83491,0.482
1.12305,-0.1036,-1.78394,2.92437,0.61228
2.38647,-0.04124,-1.17822,2.99915,0.72771
3.89404,-0.00037,-0.06782,3.05867,0.82429
5.12695,0.01079,1.08556,3.10252,0.89858
5.5603,-0.0095,1.7945,3.13043,0.94777
5.52368,-0.056,1.76656,3.14223,0.9698
4.98657,-0.11732,1.03703,3.13787,0.96342
4.13818,-0.17792,-0.04944,3.11742,0.92818
3.09448,-0.22076,-1.00434,3.0811,0.86464
2.30103,-0.2304,-1.43017,3.0293,0.77438
2.38647,-0.19584,-1.20815,2.9626,0.66006
2.86255,-0.11304,-0.54042,2.88165,0.52517
3.46069,0.01371,0.17812,2.78723,0.37381
4.09546,0.17177,0.58706,2.68018,0.21065
4.04053,0.3415,0.55648,2.56148,0.04083
3.44849,0.49889,0.23628,2.43226,-0.13013
2.63062,0.61876,-0.06784,2.29373,-0.29663
2.24609,0.67844,-0.10857,2.1472,-0.45325
2.2644,0.66139,0.13725,1.99406,-0.59484
2.17896,0.56021,0.45967,1.83575,-0.71684
1.79443,0.37872,0.56745,1.67367,-0.81543
0.96436,0.13209,0.29766,1.50922,-0.88764
-0.20142,-0.15441,-0.25699,1.3438,-0.93141
-1.47705,-0.44843,-0.79345,1.17878,-0.94555
-2.28882,-0.71423,-0.98617,1.01555,-0.92999
-2.05078,-0.91722,-0.69465,0.85549,-0.88577
-1.47705,-1.02859,-0.05628,0.69998,-0.81494
-0.64697,-1.0293,0.59448,0.55034,-0.72046
-0.20142,-0.9132,0.9232,0.40781,-0.60603
-0.32959,-0.68826,0.78522,0.2735,-0.47603
-0.53101,-0.37617,0.29571,0.14837,-0.33521
-0.42114,-0.01019,-0.25409,0.03331,-0.18861
0.07324,0.36867,-0.57423,-0.07093,-0.04141
0.75684,0.71654,-0.53778,-0.16364,0.1013
1.12915,0.99219,-0.23414,-0.24423,0.2347
1.41602,1.16211,0.10937,-0.31222,0.35454
1.7334,1.20477,0.27877,-0.36726,0.45718
1.72729,1.11338,0.20203,-0.40918,0.53967
1.43433,0.89693,-0.02136,-0.43797,0.59996
0.8667,0.5794,-0.20093,-0.45368,0.63698
0.5127,0.19706,-0.18892,-0.45644,0.65058
0.33569,-0.20587,0.01791,-0.4465,0.64148
0.07935,-0.58243,0.27573,-0.42434,0.61121
-0.30518,-0.88873,0.39103,-0.39052,0.56208
-0.73853,-1.08937,0.2547,-0.3457,0.4971
-1.12305,-1.16185,-0.07575,-0.29049,0.41964
-1.0376,-1.09933,-0.40493,-0.22566,0.33337
-1.07422,-0.91128,-0.52423,-0.15205,0.24208
-1.01929,-0.62205,-0.35167,-0.07057,0.14966
-0.90332,-0.26787,0.00968,0.01778,0.05991
-0.40283,0.10764,0.3387,0.11195,-0.02371
0.55542,0.45872,0.44404,0.21092,-0.09831
1.41602,0.74317,0.29127,0.31362,-0.16167
1.19629,0.9277,0.01798,0.41905,-0.21216
0.48218,0.99217,-0.17158,0.52619,-0.24879
-0.07324,0.93191,-0.15799,0.63409,-0.27131
0.45166,0.75793,0.00727,0.74177,-0.28017
1.30005,0.49519,0.14477,0.84821,-0.2764
1.71509,0.17932,0.08914,0.95239,-0.26146
1.09253,-0.14789,-0.17341,1.0534,-0.23721
-0.09766,-0.44389,-0.47482,1.15047,-0.20594
-0.62866,-0.67093,-0.56957,1.2429,-0.17015
-0.08545,-0.80102,-0.30659,1.33005,-0.13242
1.20239,-0.81949,0.24744,1.41131,-0.09524
2.6062,-0.72656,0.81991,1.48619,-0.06081
2.87476,-0.53701,1.07797,1.55423,-0.03094
2.0752,-0.278,0.8213,1.61504,-0.00694
1.18408,0.01457,0.10937,1.66829,0.01029
0.90942,0.3007,-0.74991,1.7138,0.02029
1.32446,0.54149,-1.34575,1.75146,0.02302
1.9165,0.70465,-1.369,1.78127,0.01896
2.27051,0.76868,-0.7727,1.80326,0.00909
2.65503,0.72562,0.19301,1.81752,-0.00525
3.16162,0.58181,1.09117,1.82426,-0.02235
3.18604,0.35698,1.5051,1.82372,-0.04035
2.94189,0.08157,1.24418,1.81621,-0.05735
2.21558,-0.20724,0.44408,1.80206,-0.07161
1.23901,-0.47059,-0.49684,1.78168,-0.08161
0.18921,-0.6731,-1.12128,1.75556,-0.08602
-0.90942,-0.78753,-1.15271,1.72418,-0.08384
-1.06201,-0.79826,-0.63706,1.68805,-0.07459
0.06104,-0.70347,0.09549,1.6477,-0.05842
1.92871,-0.51517,0.63052,1.60367,-0.03597
3.01514,-0.25772,0.71009,1.55654,-0.0081
2.2522,0.03535,0.36697,1.50684,0.02399
0.92773,0.32586,-0.12532,1.45512,0.05874
0.48218,0.57592,-0.44513,1.4019,0.09415
1.68457,0.75326,-0.4248,1.34768,0.12801
3.10669,0.83528,-0.13042,1.29291,0.15812
3.61938,0.81187,0.21786,1.23811,0.18247
2.99072,0.68657,0.41129,1.18374,0.1993
1.83716,0.47597,0.37973,1.1302,0.20722
1.09253,0.20765,0.20028,1.0778,0.20516
1.05591,-0.08372,0.00469,1.02681,0.19253
1.18408,-0.36092,-0.12533,0.97757,0.16928
0.98877,-0.58905,-0.19418,0.93036,0.13596
0.36621,-0.73998,-0.24615,0.88542,0.09376
-0.46387,-0.79578,-0.29554,0.84285,0.04439
-0.6958,-0.75115,-0.30307,0.80267,-0.00994
-0.46387,-0.61391,-0.21744,0.76496,-0.06663
0.46997,-0.40364,-0.03779,0.72974,-0.1228
1.14746,-0.14875,0.16858,0.697,-0.17543
1.35498,0.11738,0.31275,0.66666,-0.22166
1.2146,0.36065,0.3538,0.63862,-0.25881
0.84839,0.55045,0.32396,0.61277,-0.28456
0.95825,0.66365,0.28268,0.58894,-0.29711
0.97656,0.68756,0.24263,0.56689,-0.29524
1.0498,0.62143,0.14264,0.5464,-0.27835
0.78735,0.47626,-0.09475,0.52727,-0.2465
0.01221,0.27302,-0.46024,0.50926,-0.20044
-0.79956,0.03985,-0.8033,0.49213,-0.1418
-1.3855,-0.19185,-0.89312,0.47563,-0.07292
-1.0376,-0.39146,-0.57399,0.45959,0.00315
-0.14038,-0.53319,0.09274,0.44381,0.08297
0.95825,-0.59921,0.81586,0.42804,0.16279
1.66626,-0.58185,1.22131,0.41203,0.23869
1.39771,-0.48419,1.07494,0.39557,0.3067
0.48828,-0.31978,0.43337,0.37853,0.363
-0.18311,-0.11078,-0.38033,0.36082,0.4042
-0.15259,0.11481,-0.96174,0.34231,0.42763
0.58594,0.32701,-1.05221,0.32289,0.43141
1.08643,0.49779,-0.66578,0.30254,0.41448
1.13525,0.60445,-0.04914,0.28121,0.37674
1.2146,0.63222,0.48026,0.25892,0.31895
1.42822,0.57601,0.70459,0.23571,0.24288
1.69067,0.44111,0.58838,0.21165,0.15124
1.28174,0.24262,0.25058,0.18683,0.04772
0.30518,0.00375,-0.12668,0.16131,-0.06325
-0.6897,-0.24694,-0.38691,0.13524,-0.17678
-1.06812,-0.47878,-0.44888,0.10878,-0.28786
-0.8728,-0.66278,-0.31631,0.08209,-0.39158
-0.61035,-0.77493,-0.06456,0.05539,-0.48304
-0.81177,-0.79918,0.18743,0.02888,-0.55763
-1.09863,-0.72931,0.32221,0.00279,-0.61121
-1.11084,-0.5698,0.2794,-0.02267,-0.64051
-0.81177,-0.33541,0.0953,-0.04726,-0.64329
-0.56763,-0.04958,-0.10841,-0.07069,-0.61834
-0.75684,0.25782,-0.19609,-0.09268,-0.56567
-0.90942,0.55364,-0.1122,-0.11299,-0.4865
-0.31738,0.80484,0.06973,-0.1314,-0.38329
0.59815,0.98202,0.19084,-0.14774,-0.25965
0.93994,1.06269,0.12395,-0.16181,-0.12015
0.47607,1.0339,-0.11799,-0.17345,0.02972
-0.01831,0.89388,-0.3711,-0.18251,0.18383
0,0.65262,-0.42858,-0.18885,0.33563
0.62866,0.33112,-0.19803,-0.19231,0.47854
0.64697,-0.04042,0.21034,-0.19272,0.60628
0.48218,-0.42555,0.54037,-0.18996,0.71297
0.21973,-0.785,0.56447,-0.18401,0.79346
-0.01221,-1.0807,0.25335,-0.1749,0.84366
-0.31128,-1.27964,-0.18725,-0.16264,0.86062
-0.84229,-1.35772,-0.4526,-0.14722,0.84277
-1.0376,-1.30237,-0.3581,-0.1287,0.78989
-0.5188,-1.11424,0.01572,-0.10723,0.70331
0.42725,-0.8076,0.36565,-0.08297,0.58592
1.06201,-0.40938,0.37988,-0.05607,0.44198
0.8667,0.0432,-0.02377,-0.02668,0.27692
0.39673,0.50622,-0.60679,0.00498,0.09708
0.14038,0.93344,-0.94586,0.03865,-0.09057
0.58594,1.28101,-0.71626,0.07406,-0.27862
1.48315,1.51205,0.06579,0.11096,-0.45941
2.33154,1.60065,1.01009,0.14912,-0.62535
2.6062,1.53488,1.56679,0.18826,-0.76931
1.98975,1.31839,1.35972,0.22809,-0.88513
0.36011,0.97019,0.43072,0.26832,-0.9677
-1.48926,0.52295,-0.7642,0.30865,-1.01317
-3.00293,0.01979,-1.60951,0.34877,-1.01912
-3.38745,-0.49012,-1.68094,0.38839,-0.98475
-2.68555,-0.95664,-0.98039,0.42723,-0.91106
-1.60522,-1.33393,0.08435,0.46507,-0.80069
-1.11694,-1.58506,0.95157,0.5016,-0.65785
-1.24512,-1.68564,1.22838,0.53656,-0.48801
-1.34888,-1.62632,0.88947,0.56973,-0.2978
-0.83618,-1.41389,0.24504,0.60094,-0.09459
-0.04883,-1.07046,-0.28201,0.63009,0.11364
0.31738,-0.63095,-0.4191,0.65705,0.31857
0.53101,-0.13895,-0.18576,0.68169,0.51203
1.2207,0.35797,0.15869,0.70393,0.6862
2.49634,0.81286,0.30983,0.72371,0.83408
3.65601,1.184,0.12089,0.74099,0.9497
3.95508,1.43888,-0.31263,0.75577,1.02835
3.38135,1.55725,-0.72687,0.76809,1.06689
2.76489,1.53269,-0.86047,0.77802,1.06376
2.57568,1.3726,-0.60781,0.78568,1.01911
3.10059,1.0966,-0.06537,0.79118,0.93477
3.86963,0.73397,0.53885,0.79468,0.8142
3.93066,0.32033,0.97372,0.79637,0.66236
2.89917,-0.10604,1.10514,0.79643,0.48546
1.11694,-0.50772,0.92229,0.79505,0.29088
-0.3479,-0.85128,0.49892,0.79249,0.08666
-0.88501,-1.11006,-0.06103,0.78901,-0.11883
-1.20239,-1.26621,-0.64928,0.78488,-0.31735
-1.9104,-1.31167,-1.14515,0.78031,-0.50112
-3.10669,-1.248,-1.40494,0.7756,-0.66297
-3.65601,-1.08529,-1.28785,0.77108,-0.79657
-2.7832,-0.84068,-0.72931,0.76707,-0.89677
-0.87891,-0.53668,0.17662,0.76381,-0.9599
1.18408,-0.1992,1.15224,0.76152,-0.98395
2.02026,0.14444,1.81577,0.76039,-0.96846
1.80664,0.46747,1.85043,0.76063,-0.91451
1.03149,0.74547,1.1808,0.76249,-0.8248
0.5188,0.95798,0.04935,0.76622,-0.70359
0.25024,1.08965,-1.07086,0.77205,-0.55649
0.41504,1.13115,-1.70066,0.78013,-0.39
0.37842,1.07967,-1.60083,0.79056,-0.21123
0.60425,0.93933,-0.89704,0.80347,-0.02763
1.31836,0.72128,-0.00098,0.81899,0.15318
2.19116,0.44326,0.63202,0.83722,0.32371
2.84424,0.12842,0.76563,0.85814,0.47699
2.61841,-0.19662,0.49911,0.88166,0.60699
2.22778,-0.50375,0.16256,0.90771,0.70874
1.87988,-0.76565,0.06303,0.93625,0.77867
1.66016,-0.95792,0.25867,0.9672,0.81454
1.36108,-1.06156,0.52434,1.00047,0.8156
1.13525,-1.06519,0.53647,1.03586,0.78251
1.42822,-0.96676,0.14263,1.07314,0.71735
1.22681,-0.77444,-0.48887,1.11206,0.62363
0.53711,-0.50618,-0.96422,1.15234,0.50604
-0.37231,-0.18817,-0.9466,1.19372,0.37026
-0.40894,0.14768,-0.42158,1.23595,0.22262
1.02539,0.46693,0.26488,1.27873,0.06966
2.49634,0.73609,0.64203,1.32177,-0.08203
2.9541,0.92628,0.46363,1.36472,-0.22602
1.98975,1.01672,-0.09292,1.40725,-0.35626
0.6897,0.99745,-0.54239,1.44909,-0.46737
0.47607,0.87082,-0.4551,1.48998,-0.55511
1.33057,0.65123,0.1975,1.52964,-0.61631
2.53906,0.3636,0.98369,1.56772,-0.64908
2.7771,0.04056,1.30335,1.60389,-0.65272
1.75171,-0.28133,0.82961,1.63789,-0.62787
0.20142,-0.56567,-0.22639,1.66949,-0.57652
-1.2146,-0.78057,-1.23411,1.6985,-0.50175
-1.58081,-0.90228,-1.57193,1.72469,-0.4076
-0.82398,-0.91807,-1.0585,1.74789,-0.29882
0.85449,-0.82792,-0.07143,1.76793,-0.18055
2.56348,-0.64454,0.73324,1.78466,-0.05826
3.10059,-0.39163,0.89155,1.79801,0.06258
2.86255,-0.10057,0.44341,1.80794,0.17671
